244,Ljepotica Ria
245,U sjeni giljotine
246,Potres
247,Skate-board boys
248,Posljednja bitka?
249,Finale
250,Veliki gazda (Kum)
251,Otrovni finale
252,"Klopka sa tri S"""""
253,Anten-men
254,Uhvatite Anten-men-a!
255,Povratak u tor
256,Elvis '90
257,Operacija spašavanja
258,Dovitljiva osveta
259,Ludost godine
260,Tražite Tobiju Quantrilla
261,Gero-skauti
262,Grob za Boba
263,Zippel
264,Državni psovač broj 1
265,Povratak Anten-mena 
266,Anten-menov dvojnik
267,Bum faktor
268,Pustinjski bljesak
269,Živa mumija
270,Mister Božić
271,Nijemi čovjek Turluk
272,Superzelembać
273,Ne glupraj se!
274,Brasilera rumba ja-ja!
275,Nebeski pljačkaši 
276,Dan lavova
277,Anten-boy
278,Gladanost ili smrt
279,Tele-X
280,Operacija Pochita
281,Ne pucajte!
282,Vidimo se uskoro
283,Arakno
284,Tobia bježi
285,Prolećna simfonija (Ljetna simfonija)
286,"Sad ga ima, sad ga nema!"
287,S.O.S. Pochita
288,4 kostura
289,"Gna, gna, gno"
290,Ludnica u ludnici
291,Superhik ponovo među vama
292,Stranka pijančevanja
293,Kolo sreće
294,Pitanje savjesti
295,Ucjena za dvojicu
296,Mutni poslovi
297,Nesrećni dobitnik
298,Košarka
299,Crni dan
300,Primamljiv poziv
301,Klinika lake smrti
302,Pretrpljeni praznici
303,Morganina tajna
304,Banda četvrtastih glava
305,VIS Vurdalak
306,Mršav Božić
307,Blago Inka
308,Neslane šale
309,Bejzbol
310,Traži se Ivana
311,Anten-girl
312,Puff!
313,Krađa u muzeju
314,Grbavac napada
315,Morganin zatočenik
316,Superhik ponovo osvaja
317,Osveta u dimu
318,Božićni ugođaj
319,Čudo
320,Šaljivčina
321,Show Mauritza Trbonje
322,Telefon za prijatelja
323,Parabolik
324,Nestvarno vrijeme
325,Grbavac opet na djelu
326,Jaje iznenađenja
327,Povratak pauka
328,Oblaci
329,Pokajnik
330,Na pasjoj vrućini
331,Osveta
332,Mrvice
333,Dva srca i jedna koliba
334,E.B.
335,Da imam milijun dolara
336,Sapunica
337,Srdačno vaš lakrdijaš
338,Let USAF 317
339,Veliki Panzarotti
340,Hendikep
341,Glasujte za tromba
342,Božićna pljačka
343,31. prosinca 2097
344,Izgrebi i kidaj
345,Nasljedstvo Rock
346,Čarobni miris
347,Uhvaćen na djelu
348,Supermarket
349,Putovanja O.K. sve uključeno
350,Srčana
351,Lilihip
352a,"Plati 2, ubij 3"
353,Živjeli otpaci
354,Moderna bajka (Božićni duh)
355,"Htio bih mnogo, ali mogu malo"
356,Sljepačke pjesme
357,Osvijetljena tikva
358,Sablast iz Cantervilea
359,Brojevi
360,Nevidljivi čovjek
361,Krstarenje au pair
362a,Banderas Carreras
362b,Zamršen slučaj
363,Ričard III
364,7 kila za 7 sati
365,Frick
366,Šakal
367,Zora novog tisućljeća
368,Meta ništica
369,Hamlet
370,Dvije sobe i kuhinja
371,Optuženi
372,Unajmljuje se ubojica
373a,Hollywood wow!
373b,Noć zvijezda
374a,Minga i Manga
374b,Sayonara
375,Ustanak Berta i Berte
376,Srodna duša
377,"O, srce moje"
378,Hakeri
379,Week-end
380,Slalom
381,Sladoled s ribljim okusom
382,TNT rođenje
383,Dimenzija XL
384,Poludjeli predsjednik
385,Kockar
386a,Lakrdijašev TV show
386b,Spot
387a,Priče starih vremena
387b,Priče starih vremena II
388,Povratak u dimenziju XL
389,Bomba kraj svijeta
390,Sretan Božić
391,Cogito ergo sum
392,Recite svoje
393,"Ja mrtav, ti mrtav, on mrtav"
394,Bingo!
395,Ubojstva izvlačenjem
396,Novi Anten-man
397,Oh moj Bože
398,Vodite ljubav sa...
399,Bilo pa prošlo
400,Proslava u dvorcu
401,Voyeurova banda
402,Božićna šala
403,Udovica s one strane groba
404,Enrika ponovo udara
405,Upitnik
406,Čudesni prsten
407,Posljednji film Billa Mikowskog
408,"Ime mi je Font, Alex Font"
409,Poziv smrti
410,Putnička agencija Shirley
411,Spasitelj
412,Fiction
413,Traži se osoblje
414,Bon-bon
415,"Ars, artis"
416,Mijaukanje tigra
417,Tajna triju upitnika
418,Tuča
419,Ubojica je ostavio svoj trag
420,Ra-ta-ta-ta-ta
